Protein_A	Protein_B	Uniprot_A	Uniprot_B
AAC3	DED1	P18238	P06634
AAC3	NUF2	P18238	P33895
AAC3	RBG1	P18238	P39729
AAD4	NUF2	Q07747	P33895
AAD4	RBG1	Q07747	P39729
AAR2	NMD2	P32357	P38798
AAT2	SUB1	P23542	P54000
ABD1	NDC80	P32783	P40460
ABD1	SIW14	P32783	P53965
ABD1	STU2	P32783	P46675
ABF1	CDC48	P14164	P25694
ABF1	SET2	P14164	P46995
ABF2	SNF5	Q02486	P18480
ABZ2	SUB1	Q03266	P54000
ACC1	DED1	Q00955	P06634
ACC1	NDC80	Q00955	P40460
ACC1	NUF2	Q00955	P33895
ACC1	SNF5	Q00955	P18480
ACC1	STU2	Q00955	P46675
ACH1	RRP6	P32316	Q12149
ACO1	SOD1	P19414	P00445
ACS2	CDC48	P52910	P25694
ACS2	RRP6	P52910	Q12149
ACS2	STM1	P52910	P39015
ACT1	CDC48	P60010	P25694
ACT1	DED1	P60010	P06634
ACT1	DEF1	P60010	P35732
ACT1	FUS3	P60010	P16892
ACT1	NDC80	P60010	P40460
ACT1	NMD2	P60010	P38798
ACT1	NUF2	P60010	P33895
ACT1	NUM1	P60010	Q00402
ACT1	PRP4	P60010	P20053
ACT1	SET2	P60010	P46995
ACT1	SIW14	P60010	P53965
ACT1	SNF5	P60010	P18480
ACT1	STM1	P60010	P39015
ACT1	STU2	P60010	P46675
ACT1	SUB1	P60010	P54000
ACT1	TUB4	P60010	P53378
ADA2	CDC48	Q02336	P25694
ADA2	NMD4	Q02336	Q12129
ADD37	CDC48	Q03233	P25694
ADD66	DBP1	P36040	P24784
ADD66	NDT80	P36040	P38830
ADE12	SIW14	P80210	P53965
ADE3	SIW14	P07245	P53965
ADF1	CDC48	Q2V2Q1	P25694
ADF1	RRP6	Q2V2Q1	Q12149
ADF1	STM1	Q2V2Q1	P39015
ADH3	SET2	P07246	P46995
ADK1	CDC48	P07170	P25694
ADK1	DED1	P07170	P06634
ADK2	RRP6	P26364	Q12149
ADO1	SIW14	P47143	P53965
ADR1	FUS3	P07248	P16892
ADY2	RBG1	P25613	P39729
ADY4	DBP1	Q05955	P24784
AEP2	CDC48	P22136	P25694
AEP2	DED1	P22136	P06634
AFG2	SET2	P32794	P46995
AFG2	SIW14	P32794	P53965
AFG3	CDC48	P39925	P25694
AFG3	NUF2	P39925	P33895
AFT1	NUF2	P22149	P33895
AFT1	SNF5	P22149	P18480
AGC1	CDC48	Q12482	P25694
AGC1	NUF2	Q12482	P33895
AGE2	DED1	P40529	P06634
AGP1	SIW14	P25376	P53965
AHC1	SIW14	Q12433	P53965
AHC2	NUM1	P25649	Q00402
AHC2	SIW14	P25649	P53965
AIM11	NUF2	P87275	P33895
AIM11	PRP4	P87275	P20053
AIM23	MRP51	P47015	Q02950
AIM24	NUM1	P47127	Q00402
AIM44	DED1	Q99299	P06634
AIM44	FUS3	Q99299	P16892
AIM45	RPO41	Q12480	P13433
AIM4	CDC48	P38305	P25694
AIM4	DEF1	P38305	P35732
AIR1	DED1	P40507	P06634
AIR2	DED1	Q12476	P06634
AIR2	MRP51	Q12476	Q02950
AIR2	RRP6	Q12476	Q12149
AKR1	FUS3	P39010	P16892
AKR1	STM1	P39010	P39015
AKR2	RRP6	Q12013	Q12149
ALA1	SIW14	P40825	P53965
ALD6	SIW14	P54115	P53965
ALF1	CDC48	P53904	P25694
ALG14	SUB1	P38242	P54000
ALG1	NDC80	P16661	P40460
ALG1	RRP6	P16661	Q12149
ALG2	NDC80	P43636	P40460
ALG2	NMD2	P43636	P38798
ALG2	SIW14	P43636	P53965
ALG5	RPO41	P40350	P13433
ALG5	SIW14	P40350	P53965
ALG6	RPO41	Q12001	P13433
ALG8	RPO41	P40351	P13433
ALG8	SIW14	P40351	P53965
ALG9	RPO41	P53868	P13433
ALG9	SET2	P53868	P46995
ALO1	TOM70	P54783	P07213
ALT2	SNF5	P52892	P18480
ALY1	FUS3	P36117	P16892
ALY2	FUS3	P47029	P16892
AME1	NDC80	P38313	P40460
AME1	NMD2	P38313	P38798
AME1	NUF2	P38313	P33895
AME1	SET2	P38313	P46995
AME1	SNF5	P38313	P18480
AME1	STU2	P38313	P46675
ANP1	NUM1	P32629	Q00402
ANP1	TMA46	P32629	Q12000
ANP1	TOM70	P32629	P07213
ANT1	SIW14	Q06497	P53965
AOS1	CDC48	Q06624	P25694
AOS1	RRP6	Q06624	Q12149
AOS1	SET2	Q06624	P46995
APA2	NUF2	P22108	P33895
APC1	CDC48	P53886	P25694
APC1	NDC80	P53886	P40460
APC1	RBG1	P53886	P39729
APC1	SET2	P53886	P46995
APC2	CDC48	Q12440	P25694
APC5	CDC48	Q08683	P25694
APC5	NMD2	Q08683	P38798
APC5	NUF2	Q08683	P33895
APC5	NUM1	Q08683	Q00402
APC5	SET2	Q08683	P46995
APC5	STM1	Q08683	P39015
APE4	CDC48	P38821	P25694
APJ1	CDC48	P53940	P25694
APJ1	RBG1	P53940	P39729
APJ1	RRP6	P53940	Q12149
APL1	SIW14	P27351	P53965
APL2	SUB1	P36000	P54000
APL5	CDC48	Q08951	P25694
APL5	DED1	Q08951	P06634
APL5	DEF1	Q08951	P35732
APL5	NUM1	Q08951	Q00402
APL5	NUP1	Q08951	P20676
APL5	SOD1	Q08951	P00445
APL5	STM1	Q08951	P39015
APL5	TMA46	Q08951	Q12000
APM2	DED1	P38700	P06634
APQ12	FUS3	P40532	P16892
APQ12	RRP6	P40532	Q12149
APQ12	SET2	P40532	P46995
APS1	NDC80	P35181	P40460
AQR1	CDC48	P53943	P25694
AQR1	NUF2	P53943	P33895
ARB1	DED1	P40024	P06634
ARB1	TMA46	P40024	Q12000
ARC15	DED1	P40518	P06634
ARC15	SET2	P40518	P46995
ARC15	SIW14	P40518	P53965
ARC18	NUM1	Q05933	Q00402
ARC18	PRP4	Q05933	P20053
ARC1	RRP6	P46672	Q12149
ARC35	TUB4	P53731	P53378
ARD1	BIM1	P07347	P40013
ARD1	SET2	P07347	P46995
ARE1	DBP1	P25628	P24784
ARE1	RRP6	P25628	Q12149
ARF2	RPO41	P19146	P13433
ARF2	RRP6	P19146	Q12149
ARF2	SIW14	P19146	P53965
ARG81	NUF2	P05085	P33895
ARG81	SNF5	P05085	P18480
ARK1	NUF2	P53974	P33895
ARK1	SIW14	P53974	P53965
ARK1	SOD1	P53974	P00445
ARL3	NMD2	Q02804	P38798
ARL3	SIW14	Q02804	P53965
ARO1	SIW14	P08566	P53965
ARO1	SNF5	P08566	P18480
ARO2	NMD2	P28777	P38798
ARO7	SNF5	P32178	P18480
ARO80	RRP6	Q04052	Q12149
ARP1	BIM1	P38696	P40013
ARP1	NDT80	P38696	P38830
ARP1	NUM1	P38696	Q00402
ARP1	SEY1	P38696	Q99287
ARP1	SIW14	P38696	P53965
ARP1	STU2	P38696	P46675
ARP2	CDC48	P32381	P25694
ARP2	NUP1	P32381	P20676
ARP3	DED1	P47117	P06634
ARP3	NDC80	P47117	P40460
ARP3	NMD2	P47117	P38798
ARP3	SIW14	P47117	P53965
ARP3	SNF5	P47117	P18480
ARP4	FUS3	P80428	P16892
ARP4	SET2	P80428	P46995
ARP4	SNF5	P80428	P18480
ARP5	CDC48	P53946	P25694
ARP6	BIM1	Q12509	P40013
ARP6	FUS3	Q12509	P16892
ARP6	NUM1	Q12509	Q00402
ARP6	PRP4	Q12509	P20053
ARP6	RRP6	Q12509	Q12149
ARP6	SET2	Q12509	P46995
ARP8	BIM1	Q12386	P40013
ARP8	CDC48	Q12386	P25694
ARP8	RRP6	Q12386	Q12149
ARP8	SET2	Q12386	P46995
ARP8	SOD1	Q12386	P00445
ARP8	STM1	Q12386	P39015
ARP8	SUB1	Q12386	P54000
ARP9	NUM1	Q05123	Q00402
ARP9	PRP4	Q05123	P20053
ARP9	SET2	Q05123	P46995
ARP9	SNF5	Q05123	P18480
ART5	NUM1	P53244	Q00402
ART5	SNF5	P53244	P18480
ARV1	RPO41	Q06541	P13433
ARV1	SET2	Q06541	P46995
ARX1	NUP1	Q03862	P20676
ARX1	RRP6	Q03862	Q12149
ARX1	STM1	Q03862	P39015
ASA1	BIM1	Q06822	P40013
ASA1	CDC48	Q06822	P25694
ASA1	RPO41	Q06822	P13433
ASA1	RRP6	Q06822	Q12149
ASA1	SNF5	Q06822	P18480
ASA1	SOD1	Q06822	P00445
ASC1	CDC48	P38011	P25694
ASC1	DED1	P38011	P06634
ASC1	DEF1	P38011	P35732
ASC1	PRP4	P38011	P20053
ASC1	RBG1	P38011	P39729
ASC1	RRP6	P38011	Q12149
ASC1	SET2	P38011	P46995
ASC1	STM1	P38011	P39015
ASC1	SUB1	P38011	P54000
ASC1	TMA46	P38011	Q12000
ASE1	BIM1	P50275	P40013
ASE1	NUM1	P50275	Q00402
ASE1	STM1	P50275	P39015
ASF1	SET2	P32447	P46995
ASF1	SNF5	P32447	P18480
ASH1	FUS3	P34233	P16892
ASH1	NMD2	P34233	P38798
ASK1	CDC48	P35734	P25694
ASK1	NDC80	P35734	P40460
ASK1	SIW14	P35734	P53965
ASK1	STU2	P35734	P46675
ASM4	NUP1	Q05166	P20676
ASM4	PRP4	Q05166	P20053
ASP1	CDC48	P38986	P25694
ASR1	CDC48	Q06834	P25694
ASR1	SET2	Q06834	P46995
AST1	SEY1	P35183	Q99287
AST2	NMD4	P39945	Q12129
ATC1	TMA46	Q04005	Q12000
ATG10	SNF5	Q07879	P18480
ATG12	CDC48	P38316	P25694
ATG13	CDC48	Q06628	P25694
ATG14	CDC48	P38270	P25694
ATG14	NUF2	P38270	P33895
ATG18	CDC48	P43601	P25694
ATG1	CDC48	P53104	P25694
ATG1	DED1	P53104	P06634
ATG1	SIW14	P53104	P53965
ATG23	CDC48	Q06671	P25694
ATG27	CDC48	P46989	P25694
ATG27	DED1	P46989	P06634
ATG29	CDC48	Q12092	P25694
ATG2	CDC48	P53855	P25694
ATG2	TOM70	P53855	P07213
ATG31	CDC48	Q12421	P25694
ATG33	CDC48	Q06485	P25694
ATG33	DED1	Q06485	P06634
ATG33	NDC80	Q06485	P40460
ATG33	PRP4	Q06485	P20053
ATG3	NUM1	P40344	Q00402
ATG4	RRP6	P53867	Q12149
ATG8	CDC48	P38182	P25694
ATG8	DED1	P38182	P06634
ATG8	NUP1	P38182	P20676
ATG8	SEY1	P38182	Q99287
ATG8	STM1	P38182	P39015
ATG9	CDC48	Q12142	P25694
ATL1	SEY1	NA	Q99287
ATM1	RRP6	P40416	Q12149
ATP10	DED1	P18496	P06634
ATP10	NMD2	P18496	P38798
ATP10	RRP6	P18496	Q12149
ATP11	PRP4	P32453	P20053
ATP11	TOM70	P32453	P07213
ATP12	DEF1	P22135	P35732
ATP12	SIW14	P22135	P53965
ATP23	COX20	P53722	Q04935
ATP23	TOM70	P53722	P07213
ATP7	SET2	P30902	P46995
AUA1	DED1	P32450	P06634
AUR1	COX20	P36107	Q04935
AUR1	MRP51	P36107	Q02950
AUR1	NMD2	P36107	P38798
AVL9	SEY1	Q12500	Q99287
AVL9	SIW14	Q12500	P53965
AVO1	NDC80	Q08236	P40460
AVT5	RRP6	P38176	Q12149
AXL2	RRP6	P38928	Q12149
AZF1	SNF5	P41696	P18480
AZF1	STU2	P41696	P46675
BAS1	FUS3	P22035	P16892
BAS1	SET2	P22035	P46995
BAS1	SUB1	P22035	P54000
BAT1	SIW14	P38891	P53965
BAT2	CDC48	P47176	P25694
BBC1	NDC80	P47068	P40460
BCD1	DED1	P38772	P06634
BCH1	SNF5	Q05029	P18480
BCH2	SIW14	P36122	P53965
BCK2	SUB1	P33306	P54000
BCY1	CDC48	P07278	P25694
BCY1	NUM1	P07278	Q00402
BCY1	SIW14	P07278	P53965
BCY1	SNF5	P07278	P18480
BDF1	NUF2	P35817	P33895
BDF1	NUM1	P35817	Q00402
BDF1	PRP4	P35817	P20053
BDF1	SIW14	P35817	P53965
BDF1	SOD1	P35817	P00445
BDF2	SET2	Q07442	P46995
BDF2	SIW14	Q07442	P53965
BDP1	PRP4	P46678	P20053
BDP1	SUB1	P46678	P54000
BEM1	FUS3	P29366	P16892
BEM1	NMD2	P29366	P38798
BEM2	CDC48	P39960	P25694
BEM2	MRP51	P39960	Q02950
BEM2	SIW14	P39960	P53965
BEM2	SNF5	P39960	P18480
BER1	SNF5	Q06688	P18480
BET1	DED1	P22804	P06634
BET1	NMD2	P22804	P38798
BET1	PRP4	P22804	P20053
BET1	RRP6	P22804	Q12149
BET1	SET2	P22804	P46995
BET2	CDC48	P20133	P25694
BET2	RRP6	P20133	Q12149
BET2	SUB1	P20133	P54000
BET3	SUB1	P36149	P54000
BET4	CDC48	Q00618	P25694
BET4	DED1	Q00618	P06634
BET4	NDC80	Q00618	P40460
BET4	NUM1	Q00618	Q00402
BET4	PRP4	Q00618	P20053
BET4	SIW14	Q00618	P53965
BET4	STM1	Q00618	P39015
BET5	SET2	Q03630	P46995
BET5	STM1	Q03630	P39015
BFA1	BIM1	P47113	P40013
BFA1	CDC48	P47113	P25694
BFA1	NUM1	P47113	Q00402
BFA1	PRP4	P47113	P20053
BFA1	SNF5	P47113	P18480
BFR1	CDC48	P38934	P25694
BFR1	MRP51	P38934	Q02950
BFR1	SET2	P38934	P46995
BFR1	SOD1	P38934	P00445
BFR1	STM1	P38934	P39015
BFR1	TMA46	P38934	Q12000
BFR1	TOM70	P38934	P07213
BFR1	TUB4	P38934	P53378
BFR2	RRP6	Q06631	Q12149
BIK1	BIM1	P11709	P40013
BIK1	NUF2	P11709	P33895
BIK1	STU2	P11709	P46675
BIL1	NDC80	NA	P40460
BIL1	SNF5	NA	P18480
AAR2	BIM1	P32357	P40013
ACS1	BIM1	Q01574	P40013
ACT1	BIM1	P60010	P40013
AGX1	BIM1	P43567	P40013
AIM4	BIM1	P38305	P40013
ALG1	BIM1	P16661	P40013
ALG5	BIM1	P40350	P40013
ALT1	BIM1	P52893	P40013
AMD1	BIM1	P15274	P40013
APE1	BIM1	P14904	P40013
APQ12	BIM1	P40532	P40013
ARF1	BIM1	P11076	P40013
ARP4	BIM1	P80428	P40013
ARV1	BIM1	Q06541	P40013
ASC1	BIM1	P38011	P40013
ATG26	BIM1	Q06321	P40013
AVT5	BIM1	P38176	P40013
BCH1	BIM1	Q05029	P40013
BDF1	BIM1	P35817	P40013
BEM1	BIM1	P29366	P40013
BEM2	BIM1	P39960	P40013
BEM4	BIM1	P39011	P40013
BIM1	BIM1	P40013	P40013
BIM1	BIR1	P40013	P47134
BIM1	BMH1	P40013	P29311
BIM1	BMT6	P40013	Q12291
BIM1	BNR1	P40013	P40450
BIM1	BRE5	P40013	P53741
BIM1	BRL1	P40013	P38770
BIM1	BRN1	P40013	P38170
BIM1	BRR1	P40013	Q99177
BIM1	BRR2	P40013	P32639
BIM1	BRR6	P40013	P53062
BIM1	BTS1	P40013	Q12051
BIM1	BTT1	P40013	P40314
BIM1	BUB1	P40013	P41695
BIM1	BUB2	P40013	P26448
BIM1	BUB3	P40013	P26449
BIM1	BUD13	P40013	P46947
BIM1	BUD14	P40013	P27637
BIM1	BUD21	P40013	Q08492
BIM1	BUD25	P40013	P85052
BIM1	BUD31	P40013	P25337
BIM1	BUD4	P40013	P47136
BIM1	BUD6	P40013	P41697
BIM1	BUD7	P40013	Q08754
BIM1	BZZ1	P40013	P38822
BIM1	CAD1	P40013	P24813
BIM1	CAP2	P40013	P13517
BIM1	CBF1	P40013	P17106
BIM1	CBP4	P40013	P37267
BIM1	CBR1	P40013	P38626
BIM1	CCR4	P40013	P31384
BIM1	CCT4	P40013	P39078
BIM1	CCT6	P40013	P39079
BIM1	CDC21	P40013	P06785
BIM1	CDC26	P40013	P14724
BIM1	CDC28	P40013	P00546
BIM1	CDC37	P40013	P06101
BIM1	CDC55	P40013	Q00362
BIM1	CDC8	P40013	P00572
BIM1	CEG1	P40013	Q01159
BIM1	CEP3	P40013	P40969
BIM1	CHD1	P40013	P32657
BIM1	CHK1	P40013	P38147
BIM1	CHL1	P40013	P22516
BIM1	CHL4	P40013	P38907
BIM1	CHS7	P40013	P38843
BIM1	CIK1	P40013	Q01649
BIM1	CIN1	P40013	P40987
BIM1	CIN2	P40013	P46670
BIM1	CIN8	P40013	P27895
BIM1	CKS1	P40013	P20486
BIM1	CLA4	P40013	P48562
BIM1	CLB5	P40013	P30283
BIM1	CLF1	P40013	Q12309
BIM1	CLG1	P40013	P35190
BIM1	CLP1	P40013	Q08685
BIM1	CNM67	P40013	P53865
BIM1	COX10	P40013	P21592
BIM1	CPT1	P40013	P17898
BIM1	CRM1	P40013	P30822
BIM1	CSE2	P40013	P33308
BIM1	CSF1	P40013	Q12150
BIM1	CSM1	P40013	P25651
BIM1	CSM3	P40013	Q04659
BIM1	CSM4	P40013	Q08955
BIM1	CST6	P40013	P40535
BIM1	CTF18	P40013	P49956
BIM1	CTF19	P40013	Q02732
BIM1	CTF3	P40013	Q12748
BIM1	CTF4	P40013	Q01454
BIM1	CTF8	P40013	P38877
BIM1	CTK1	P40013	Q03957
BIM1	CTK2	P40013	P46962
BIM1	CTK3	P40013	P46963
BIM1	CYK3	P40013	Q07533
BIM1	DAD1	P40013	Q12248
BIM1	DAD4	P40013	P69851
BIM1	DAM1	P40013	P53267
BIM1	DBF4	P40013	P32325
BIM1	DCC1	P40013	P25559
BIM1	DEP1	P40013	P31385
BIM1	DIA2	P40013	Q08496
BIM1	DIP5	P40013	P53388
BIM1	DMA1	P40013	P38823
BIM1	DMA2	P40013	P53924
BIM1	DNA2	P40013	P38859
BIM1	DOC1	P40013	P53068
BIM1	DPH1	P40013	P40487
BIM1	DPH6	P40013	Q12429
BIM1	DST1	P40013	P07273
BIM1	DUO1	P40013	P53168
BIM1	DYN1	P40013	P36022
BIM1	DYN2	P40013	Q02647
BIM1	DYN3	P40013	Q04949
BIM1	EAF1	P40013	Q06337
BIM1	EAF3	P40013	Q12432
BIM1	EAF5	P40013	P39995
BIM1	EAF6	P40013	P47128
BIM1	EAF7	P40013	P53911
BIM1	ECM15	P40013	P35195
BIM1	ECM33	P40013	P38248
BIM1	ECO1	P40013	P43605
BIM1	EDC2	P40013	P40023
BIM1	EIS1	P40013	Q05050
BIM1	ELG1	P40013	Q12050
BIM1	ELM1	P40013	P32801
BIM1	ELO2	P40013	P25358
BIM1	ELP2	P40013	P42935
BIM1	ELP3	P40013	Q02908
BIM1	ELP4	P40013	Q02884
BIM1	ELP6	P40013	Q04868
BIM1	EMI2	P40013	Q04409
BIM1	ENV11	P40013	P53246
BIM1	EOS1	P40013	P53938
BIM1	ERG3	P40013	P32353
BIM1	ERG9	P40013	P29704
BIM1	ERV2	P40013	Q12284
BIM1	ETR1	P40013	P38071
BIM1	EXG2	P40013	P52911
BIM1	FAB1	P40013	P34756
BIM1	FAD1	P40013	P38913
BIM1	FKS1	P40013	P38631
BIM1	FPR2	P40013	P32472
BIM1	FUM1	P40013	P08417
BIM1	FUS3	P40013	P16892
BIM1	FYV10	P40013	P40492
BIM1	FYV4	P40013	P38783
BIM1	GAA1	P40013	P39012
BIM1	GAS1	P40013	P22146
BIM1	GIM3	P40013	P53900
BIM1	GIM4	P40013	P40005
BIM1	GIM5	P40013	Q04493
BIM1	GOR1	P40013	P53839
BIM1	GPI13	P40013	Q07830
BIM1	GPI2	P40013	P46961
BIM1	GPI8	P40013	P49018
BIM1	GPN2	P40013	Q08726
BIM1	GUD1	P40013	Q07729
BIM1	GYP7	P40013	P48365
BIM1	HCM1	P40013	P25364
BIM1	HDA1	P40013	P53973
BIM1	HER2	P40013	Q03557
BIM1	HMO1	P40013	Q03973
BIM1	HOS1	P40013	Q12214
BIM1	HRR25	P40013	P29295
BIM1	HTA1	P40013	P04911
BIM1	HTZ1	P40013	Q12692
BIM1	IES2	P40013	P40154
BIM1	IKI3	P40013	Q06706
BIM1	IME1	P40013	P21190
BIM1	IML3	P40013	P38265
BIM1	IMP2	P40013	P46972
BIM1	INO2	P40013	P26798
BIM1	INP52	P40013	P50942
BIM1	IPK1	P40013	Q06667
BIM1	IPL1	P40013	P38991
BIM1	IRA2	P40013	P19158
BIM1	IRC15	P40013	Q02733
BIM1	IRC21	P40013	Q04772
BIM1	IRC5	P40013	P43610
BIM1	ISC1	P40013	P40015
BIM1	IST3	P40013	P40565
BIM1	IWR1	P40013	Q07532
BIM1	JNM1	P40013	P36224
BIM1	KAR3	P40013	P17119
BIM1	KAR9	P40013	P32526
BIM1	KHA1	P40013	P40309
BIM1	KIN4	P40013	Q01919
BIM1	KIP2	P40013	P28743
BIM1	KIP3	P40013	P53086
BIM1	KOG1	P40013	P38873
BIM1	KSP1	P40013	P38691
BIM1	KSS1	P40013	P14681
BIM1	KTI12	P40013	P34253
BIM1	KTR1	P40013	P27810
BIM1	KTR2	P40013	P33550
BIM1	LAS21	P40013	P40367
BIM1	LAT1	P40013	P12695
BIM1	LDB18	P40013	Q07887
BIM1	LOS1	P40013	P33418
BIM1	LRS4	P40013	Q04087
BIM1	LSM1	P40013	P47017
BIM1	LSM2	P40013	P38203
BIM1	LSM6	P40013	Q06406
BIM1	LSM7	P40013	P53905
BIM1	LST8	P40013	P41318
BIM1	LTE1	P40013	P07866
BIM1	MAD1	P40013	P40957
BIM1	MAD2	P40013	P40958
BIM1	MAD3	P40013	P47074
BIM1	MAF1	P40013	P41910
BIM1	MAK3	P40013	Q03503
BIM1	MBF1	P40013	O14467
BIM1	MCD1	P40013	Q12158
BIM1	MCK1	P40013	P21965
BIM1	MCM16	P40013	Q12262
BIM1	MCM21	P40013	Q06675
BIM1	MCM22	P40013	P47167
BIM1	MDL2	P40013	P33311
BIM1	MDM10	P40013	P18409
BIM1	MDM20	P40013	Q12387
BIM1	MED8	P40013	P38304
BIM1	MET10	P40013	P39692
BIM1	MET22	P40013	P32179
BIM1	MGR1	P40013	P25573
BIM1	MHP1	P40013	P43638
BIM1	MIF2	P40013	P35201
BIM1	MIS1	P40013	P09440
BIM1	MMM1	P40013	P41800
BIM1	MMR1	P40013	Q06324
BIM1	MMS1	P40013	Q06211
BIM1	MMS2	P40013	P53152
BIM1	MNN10	P40013	P50108
BIM1	MOB2	P40013	P43563
BIM1	MPH1	P40013	P40562
BIM1	MPS1	P40013	P54199
BIM1	MRC1	P40013	P25588
BIM1	MRE11	P40013	P32829
BIM1	MRP49	P40013	P32388
BIM1	MRPL1	P40013	Q04599
BIM1	MSA1	P40013	Q08471
BIM1	MSN5	P40013	P52918
BIM1	MUS81	P40013	Q04149
BIM1	NAT1	P40013	P12945
BIM1	NBL1	P40013	Q3E7Y6
BIM1	NBP2	P40013	Q12163
BIM1	NCS6	P40013	P53088
BIM1	NDL1	P40013	Q06568
BIM1	NEW1	P40013	Q08972
BIM1	NFI1	P40013	Q12216
BIM1	NGL3	P40013	Q03210
BIM1	NHP6A	P40013	P11632
BIM1	NIP100	P40013	P33420
BIM1	NIS1	P40013	P53939
BIM1	NKP1	P40013	Q12493
BIM1	NKP2	P40013	Q06162
BIM1	NPL3	P40013	Q01560
BIM1	NRM1	P40013	P53718
BIM1	NUM1	P40013	Q00402
BIM1	NUP133	P40013	P36161
BIM1	NUP188	P40013	P52593
BIM1	NUP53	P40013	Q03790
BIM1	NUP57	P40013	P48837
BIM1	NUP60	P40013	P39705
BIM1	NUP84	P40013	P52891
BIM1	NUP85	P40013	P46673
BIM1	OCA1	P40013	P50946
BIM1	ORC1	P40013	P54784
BIM1	ORC2	P40013	P32833
BIM1	ORC4	P40013	P54791
BIM1	OSM1	P40013	P21375
BIM1	PAC1	P40013	P39946
BIM1	PAC10	P40013	P48363
BIM1	PAC11	P40013	P40960
BIM1	PAH1	P40013	P32567
BIM1	PAN2	P40013	P53010
BIM1	PAN3	P40013	P36102
BIM1	PAT1	P40013	P25644
BIM1	PBS2	P40013	P08018
BIM1	PDA1	P40013	P16387
BIM1	PDS1	P40013	P40316
BIM1	PDS5	P40013	Q04264
BIM1	PER1	P40013	P25625
BIM1	PET8	P40013	P38921
BIM1	PEX19	P40013	Q07418
BIM1	PEX27	P40013	Q08580
BIM1	PFD1	P40013	P46988
BIM1	PHO23	P40013	P50947
BIM1	PHO86	P40013	P46956
BIM1	PLP1	P40013	Q04004
BIM1	PMA2	P40013	P19657
BIM1	PMP3	P40013	P87284
BIM1	PMS1	P40013	P14242
BIM1	POA1	P40013	P38218
BIM1	POB3	P40013	Q04636
BIM1	POL12	P40013	P38121
BIM1	POL30	P40013	P15873
BIM1	POL31	P40013	P46957
BIM1	POP2	P40013	P39008
BIM1	PPA2	P40013	P28239
BIM1	PPH3	P40013	P32345
BIM1	PPQ1	P40013	P32945
BIM1	PPZ1	P40013	P26570
BIM1	PRM6	P40013	Q04705
BIM1	PRP2	P40013	P20095
BIM1	PRP43	P40013	P53131
BIM1	PSH1	P40013	Q12161
BIM1	PSO2	P40013	P30620
BIM1	PSY2	P40013	P40164
BIM1	PTC6	P40013	P25646
BIM1	PUB1	P40013	P32588
BIM1	PUF2	P40013	Q12221
BIM1	PUF4	P40013	P25339
BIM1	QRI5	P40013	P32344
BIM1	RAD18	P40013	P10862
BIM1	RAD4	P40013	P14736
BIM1	RAD51	P40013	P25454
BIM1	RAD52	P40013	P06778
BIM1	RAD54	P40013	P32863
BIM1	RAD55	P40013	P38953
BIM1	RAD57	P40013	P25301
BIM1	RAD61	P40013	Q99359
BIM1	RAD7	P40013	P06779
BIM1	RCM1	P40013	P53972
BIM1	RDI1	P40013	Q12434
BIM1	RER2	P40013	P35196
BIM1	RFC2	P40013	P40348
BIM1	RFC4	P40013	P40339
BIM1	RFC5	P40013	P38251
BIM1	RNH201	P40013	P53942
BIM1	RNR4	P40013	P49723
BIM1	RPA12	P40013	P32529
BIM1	RPA14	P40013	P50106
BIM1	RPA190	P40013	P10964
BIM1	RPA34	P40013	P47006
BIM1	RPA49	P40013	Q01080
BIM1	RPB2	P40013	P08518
BIM1	RPB5	P40013	P20434
BIM1	RPB7	P40013	P34087
BIM1	RPB8	P40013	P20436
BIM1	RPD3	P40013	P32561
BIM1	RPL12A	P40013	P0CX53
BIM1	RPL12B	P40013	P0CX54
BIM1	RPL13A	P40013	Q12690
BIM1	RPL19B	P40013	P0CX83
BIM1	RPL21B	P40013	Q12672
BIM1	RPL22A	P40013	P05749
BIM1	RPL22B	P40013	P56628
BIM1	RPL35A	P40013	P0CX84
BIM1	RPL40B	P40013	P0CH09
BIM1	RPL41B	P40013	P0CX87
BIM1	RPL42A	P40013	P0CX27
BIM1	RPN10	P40013	P38886
BIM1	RPN12	P40013	P32496
BIM1	RPN4	P40013	Q03465
BIM1	RPS0B	P40013	P46654
BIM1	RPS25A	P40013	Q3E792
BIM1	RPS25B	P40013	P0C0T4
BIM1	RPS29A	P40013	P41057
BIM1	RPS5	P40013	P26783
BIM1	RPS6A	P40013	P0CX37
BIM1	RRD1	P40013	P40454
BIM1	RRD2	P40013	Q12461
BIM1	RRP8	P40013	P38961
BIM1	RRS1	P40013	Q08746
BIM1	RTG2	P40013	P32608
BIM1	RTS1	P40013	P38903
BIM1	RTS3	P40013	P53289
BIM1	RTT103	P40013	Q05543
BIM1	RUD3	P40013	Q12234
BIM1	RXT2	P40013	P38255
BIM1	SAC3	P40013	P46674
BIM1	SAC6	P40013	P32599
BIM1	SAC7	P40013	P17121
BIM1	SAP30	P40013	P38429
BIM1	SAS4	P40013	Q04003
BIM1	SCC2	P40013	Q04002
BIM1	SCT1	P40013	P32784
BIM1	SEC22	P40013	P22214
BIM1	SEC27	P40013	P41811
BIM1	SET2	P40013	P46995
BIM1	SGO1	P40013	Q08490
BIM1	SGT1	P40013	Q08446
BIM1	SGV1	P40013	P23293
BIM1	SHE1	P40013	P38200
BIM1	SHS1	P40013	Q07657
BIM1	SIC1	P40013	P38634
